START_DATE,Start_Date,Start_Time,END_Time,End_Date,End_Time,CATEGORY,Time_diff,Hour,START,STOP,MILES,Speed,PURPOSE
12/11/2016 21:48,12/11/2016,9:48:00 PM,12/11/2016 21:56,12/11/2016,9:56:00 PM,Business,0.005555556,0.266666667,Cary,Cary,2.1,7.875,Errand/Supplies
12/12/2016 13:22,12/12/2016,1:22:00 PM,12/12/2016 13:32,12/12/2016,1:32:00 PM,Business,0.006944444,0.333333333,Cary,Cary,3.1,9.3,Errand/Supplies
12/12/2016 13:36,12/12/2016,1:36:00 PM,12/12/2016 13:51,12/12/2016,1:51:00 PM,Business,0.010416667,0.5,Cary,Apex,4.4,8.8,Meal/Entertain
12/12/2016 14:26,12/12/2016,2:26:00 PM,12/12/2016 14:39,12/12/2016,2:39:00 PM,Business,0.009027778,0.433333333,Apex,Cary,4.7,10.84615385,Customer Visit
12/12/2016 17:51,12/12/2016,5:51:00 PM,12/12/2016 18:01,12/12/2016,6:01:00 PM,Business,0.006944444,0.333333333,Cary,Morrisville,3,9,Meal/Entertain
12/12/2016 20:48,12/12/2016,8:48:00 PM,12/12/2016 20:57,12/12/2016,8:57:00 PM,Business,0.00625,0.3,Morrisville,Cary,3,10,Customer Visit
12/13/2016 18:19,12/13/2016,6:19:00 PM,12/13/2016 18:29,12/13/2016,6:29:00 PM,Business,0.006944444,0.333333333,Cary,Cary,4.2,12.6,Errand/Supplies
12/13/2016 20:20,12/13/2016,8:20:00 PM,12/13/2016 20:29,12/13/2016,8:29:00 PM,Business,0.00625,0.3,Cary,Cary,4.1,13.66666667,Meal/Entertain
12/14/2016 16:52,12/14/2016,4:52:00 PM,12/14/2016 17:10,12/14/2016,5:10:00 PM,Business,0.0125,0.6,Cary,Cary,3.4,5.666666667,
12/14/2016 17:22,12/14/2016,5:22:00 PM,12/14/2016 17:34,12/14/2016,5:34:00 PM,Business,0.008333333,0.4,Cary,Cary,3.3,8.25,
12/14/2016 17:50,12/14/2016,5:50:00 PM,12/14/2016 18:00,12/14/2016,6:00:00 PM,Business,0.006944444,0.333333333,Cary,Morrisville,3,9,Meal/Entertain
12/14/2016 20:24,12/14/2016,8:24:00 PM,12/14/2016 20:40,12/14/2016,8:40:00 PM,Business,0.011111111,0.533333333,Morrisville,Cary,3.1,5.8125,Customer Visit
